SUNK_ID,SUNK_MONTH_NAME,SUNK_DAY_OF_MONTH,SUNK_YEAR,SUNK_MONTH_NUMBER,SUNK_MONTH_YEAR,SUNK_DAY_OF_WEEK_NUMBER,SUNK_DATE_OF_WEEK_NAME,SUNK_DATE,SUNK_NAME_OF_VESSEL,SUNK_TYPE_VESSEL,SUNK_STANDARD_TONNAGE,SUNK_LOCATION,AGENT_NATION,AGENT_TYPES,SUNK_TYPE,SUNK_VESSEL_TYPE,AGENT_GENERAL_TYPE,SUNK_LOCATION_LAT,SUNK_LOCATION_LONG,SUNK_DISTANCE_FROM_TOKYO,SUNK_FULL_LAT,SUNK_FULL_LONG,lat_side,long_side
1,December,8,1941,12,1941-12-01,7,Saturday,1941-12-08,AWAJISAN MARU,Passenger-Cargo,"9,794","6-03N, 102-16E",Australia,Aircraft,Sunk,Maritime,Aircraft,6.03,102.16,5051.288772,6-03N,102-16E,1,1
2,December,10,1941,12,1941-12-01,7,Saturday,1941-12-10,I 170,Submarine,"1,785","23-45N, 155-35W",United States,Navy Carrier-Based Aircraft,Sunk,Naval,Aircraft,23.45,-155.35,6316.153064,23-45N,155-35W,1,-1
3,December,10,1941,12,1941-12-01,7,Saturday,1941-12-10,MINESWEEPER NO 10,Minesweeper,630,"17-32N, 120-22E",United States,Army Aircraft,Sunk,Naval,Army Aircraft,17.32,120.22,2803.963146,17-32N,120-22E,1,1
4,December,10,1941,12,1941-12-01,7,Saturday,1941-12-10,MINESWEEPER NO 19,Minesweeper,492,"18-22N, 121-38E",United States,Army Aircraft,Sunk,Naval,Army Aircraft,18.22,121.38,2648.712168,18-22N,121-38E,1,1
5,December,10,1941,12,1941-12-01,7,Saturday,1941-12-10,TAKAO MARU,Passenger-Cargo,"4,281","17-29N, 120-26E",United States,Army Aircraft U.S. Sabotage,Sunk,Maritime,Combination,17.29,120.26,2803.845044,17-29N,120-26E,1,1
6,December,11,1941,12,1941-12-01,7,Saturday,1941-12-11,HAYATE,Destroyer,"1,270","19-16N, 166-37E",United States,Navy Shore-Battery,Sunk,Naval,Navy Shore-Battery,19.16,166.37,3193.413114,19-16N,166-37E,1,1
7,December,11,1941,12,1941-12-01,7,Saturday,1941-12-11,KISARAGI,Destroyer,"1,500","19-16N, 166-37E",United States,Navy Shore-Battery,Sunk,Naval,Navy Shore-Battery,19.16,166.37,3193.413114,19-16N,166-37E,1,1
8,December,12,1941,12,1941-12-01,7,Saturday,1941-12-12,TORO MARU,Cargo,"1,939","6-08N, 102-16E",Netherlands,Submarine,Sunk,Maritime,Submarine,6.08,102.16,5047.289955,6-08N,102-16E,1,1
9,December,13,1941,12,1941-12-01,7,Saturday,1941-12-13,NIKKOKU MARU,Cargo,"2,728","13-00N, 110-00E",Japan,Marine Casualty,Sunk,Maritime,Marine Casualty,13,110,3896.694823,13-00N,110-00E,1,1
10,December,14,1941,12,1941-12-01,7,Saturday,1941-12-14,MIHARU MARU,Cargo,"3,857","41-55N, 143-15E",Japan,Marine Casualty,Sunk,Maritime,Marine Casualty,41.55,143.15,717.4267213,41-55N,143-15E,1,1
11,December,14,1941,12,1941-12-01,7,Saturday,1941-12-14,ZUIKO MARU,Converted Gunboat,"2,577","48-05N, 153-43E",Japan,Marine Casualty,Sunk,Maritime,Marine Casualty,48.05,153.43,1778.574729,48-05N,153-43E,1,1
12,December,16,1941,12,1941-12-01,7,Saturday,1941-12-16,ATSUTASAN MARU,Cargo,"8,662","18-06N, 109-44E",United States,Submarine,Sunk,Maritime,Submarine,18.06,109.44,3560.136061,18-06N,109-44E,1,1
13,December,17,1941,12,1941-12-01,7,Saturday,1941-12-17,RO 66,Submarine,988,"19-25N, 166-30E",Japan,Marine Casualty,Sunk,Naval,Marine Casualty,19.25,166.3,3181.319696,19-25N,166-30E,1,1
14,December,18,1941,12,1941-12-01,7,Saturday,1941-12-18,SHINONOME,Destroyer,"1,950","4-24N, 114-00E",Netherlands,Mine,Sunk,Naval,Mine,4.24,114,4378.068376,4-24N,114-00E,1,1
15,December,22,1941,12,1941-12-01,7,Saturday,1941-12-22,PATROL BOAT NO 32,Old Destroyer,750,"19-17N, 166-35E",Japan,Marine Casualty,Sunk,Naval,Marine Casualty,19.17,166.35,3191.094814,19-17N,166-35E,1,1
16,December,22,1941,12,1941-12-01,7,Saturday,1941-12-22,PATROL BOAT NO 33,Old Destroyer,750,"19-17N, 166-35E",Japan,Marine Casualty,Sunk,Naval,Marine Casualty,19.17,166.35,3191.094814,19-17N,166-35E,1,1
17,December,22,1941,12,1941-12-01,7,Saturday,1941-12-22,HAYO MARU,Cargo,"5,445","16-37N, 120-17E",United States,Submarine,Sunk,Maritime,Submarine,16.37,120.17,2889.562837,16-37N,120-17E,1,1
18,December,23,1941,12,1941-12-01,7,Saturday,1941-12-23,HAYATAKA MARU,Cargo,856,"17-35N, 120-12E",United States,Submarine,Sunk,Maritime,Submarine,17.35,120.12,2808.146851,17-35N,120-12E,1,1
19,December,23,1941,12,1941-12-01,7,Saturday,1941-12-23,KATORI MARU,Cargo,"9,849","2-30N, 110-00E",Netherlands,Submarine,Sunk,Maritime,Submarine,2.3,110,4808.865144,2-30N,110-00E,1,1
20,December,23,1941,12,1941-12-01,7,Saturday,1941-12-23,HIE MARU,Passenger-Cargo,"4,943","2-30N, 110-00E",Netherlands,Submarine,Sunk,Maritime,Submarine,2.3,110,4808.865144,2-30N,110-00E,1,1
21,December,24,1941,12,1941-12-01,7,Saturday,1941-12-24,SAGIRI,Destroyer,"1,950","1-34N, 110-21E",Netherlands,Submarine,Sunk,Naval,Submarine,1.34,110.21,4882.112976,1-34N,110-21E,1,1
22,December,26,1941,12,1941-12-01,7,Saturday,1941-12-26,MINESWEEPER NO 6,Minesweeper,615,"1-34N, 110-21E",Netherlands,Army Aircraft,Sunk,Naval,Army Aircraft,1.34,110.21,4882.112976,1-34N,110-21E,1,1
23,December,26,1941,12,1941-12-01,7,Saturday,1941-12-26,UNYO MARU NO 2,Converted Salvage Vessel,"2,827","1-34N, 110-213",Netherlands,Aircraft,Sunk,Maritime,Aircraft,1.34,-110.21,11718.90714,1-34N,110-213,1,-1
24,December,29,1941,12,1941-12-01,7,Saturday,1941-12-29,RO 60,Submarine,988,"9-00N, 167-40E",Japan,Marine Casualty,Sunk,Naval,Marine Casualty,9,167.4,4084.33084,9-00N,167-40E,1,1
25,February,2,1942,2,1942-02-01,1,Sunday,1942-02-02,MINESWEEPER NO 9,Minesweeper,630,"3-42S, 128-10E",Netherlands,Mine,Sunk,Naval,Mine,-3.42,128.1,4513.195165,3-42S,128-10E,-1,1
26,May,2,1942,5,1942-05-01,1,Sunday,1942-05-02,MIZUHO,Seaplane Tender,"9,000","34-26N, 138-14E",United States,Submarine,Sunk,Naval,Submarine,34.26,138.14,212.6628072,34-26N,138-14E,1,1
27,February,2,1942,2,1942-02-01,1,Sunday,1942-02-02,TAMAGAWA MARU,Passenger-Cargo,"6,441","17-16N, 119-48E",United States,Submarine,Sunk,Maritime,Submarine,17.16,119.48,2867.940679,17-16N,119-48E,1,1
28,March,2,1942,3,1942-03-01,1,Sunday,1942-03-02,KAMOGAWA MARU,Aircraft Ferry,"6,440","8-06S, 115-57E",United States,Submarine,Sunk,Maritime,Submarine,-8.06,115.57,5481.439699,8-06S,115-57E,-1,1
29,May,2,1942,5,1942-05-01,1,Sunday,1942-05-02,UZAN MARU,Cargo,"5,014","33-26N, 135-52E",United States,Submarine,Sunk,Maritime,Submarine,33.26,135.52,468.0272715,33-26N,135-52E,1,1
30,July,2,1942,7,1942-07-01,1,Sunday,1942-07-02,UNYO MARU NO 3,Cargo,"2,997","30-30N, 120-25E",United States,Submarine,Sunk,Maritime,Submarine,30.3,120.25,1905.58352,30-30N,120-25E,1,1
31,August,2,1942,8,1942-08-01,1,Sunday,1942-08-02,ZENYO MARU,Passenger-Cargo,"6,441","5-36N, 99-53E",Netherlands,Submarine,Sunk,Maritime,Submarine,5.36,99.53,5308.468189,5-36N,99-53E,1,1
32,September,2,1942,9,1942-09-01,1,Sunday,1942-09-02,TEIKYU MARU,Cargo,"2,332","42-08N, 141-15E",United States,Submarine,Sunk,Maritime,Submarine,42.08,141.15,721.6509968,42-08N,141-15E,1,1
33,November,2,1942,11,1942-11-01,1,Sunday,1942-11-02,YASUKAWA MARU,Passenger-Cargo,"6,710","8-41S, 148-27E",United States,Army Aircraft,Sunk,Maritime,Army Aircraft,-8.41,148.27,4985.471719,8-41S,148-27E,-1,1
34,November,2,1942,11,1942-11-01,1,Sunday,1942-11-02,GIFU MARU,Cargo,"2,933","6-14N, 126-07E",United States,Submarine,Sunk,Maritime,Submarine,6.14,126.07,3568.213118,6-14N,126-07E,1,1
35,September,-,1942,9,1942-09-01,1,Sunday,1942-09-01,RO 65,Submarine,988,North Pacific,Unknown,Unknown,Sunk,Naval,Unknown,NULL,NULL,NULL,NULL,NULL,1,-1
36,October,-,1942,10,1942-10-01,1,Sunday,1942-10-01,I 30,Submarine,"2,212","l-00N, 105-00E",Great Britain,Mine,Sunk,Naval,Mine,NULL,105,NULL,l-00N,105-00E,1,1
37,April,3,1942,4,1942-04-01,1,Sunday,1942-04-03,UNKNOWN,Frigate,750,"00-36N, 119-19E",United States,Submarine,Probably sunk,Naval,Submarine,0.36,119.19,4464.047771,00-36N,119-19E,1,1
38,August,3,1942,8,1942-08-01,1,Sunday,1942-08-03,NANIWA MARU,Cargo,"4,353","7-37N, 150-18E",United States,Submarine,Sunk,Maritime,Submarine,7.37,150.18,3325.32736,7-37N,150-18E,1,1
39,October,3,1942,10,1942-10-01,1,Sunday,1942-10-03,KINKAI MARU,Cargo,"5,852","38-46N, 142-02E",United States,Submarine,Sunk,Maritime,Submarine,38.46,142.02,370.9097552,38-46N,142-02E,1,1
